,id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,x_coordinate,y_coordinate,latitude,longitude,location
26,12161784,JD362680,2020-09-10T12:35:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,018,2,8,06,2020,2020-09-17T15:47:29.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
27,12160781,JD361666,2020-09-09T12:20:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-09-16T15:51:44.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
28,12162841,JD361709,2020-09-09T14:30:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-09-16T15:51:44.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
29,12161112,JD361376,2020-09-08T15:40:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-09-15T15:50:19.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
30,12161101,JD361381,2020-09-08T15:28:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-09-15T15:50:19.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
31,12157079,JD357454,2020-09-05T13:26:00.000,008XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,False,False,1833,018,2,8,11,2020,2020-09-12T15:48:20.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
32,12148222,JD346763,2020-08-27T09:20:00.000,008XX N MICHIGAN AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,True,False,1833,018,42,8,14,2020,2020-09-10T15:49:52.000,1177327,1906585,41.899003972,-87.624124741,"{'latitude': '41.899003972', 'longitude': '-87.624124741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
33,12128060,JD323341,2020-08-06T22:01:00.000,008XX N MICHIGAN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,VEHICLE NON-COMMERCIAL,True,False,1833,018,42,8,03,2020,2020-09-10T15:49:52.000,1177311,1905834,41.896943556,-87.624206307,"{'latitude': '41.896943556', 'longitude': '-87.624206307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
34,12154292,JD353948,2020-09-02T13:29:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,True,False,1833,018,2,8,06,2020,2020-09-09T15:50:49.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
35,12154137,JD353809,2020-09-02T02:00:00.000,008XX N MICHIGAN AVE,0810,THEFT,OVER $500,HOTEL / MOTEL,False,False,1833,018,42,8,06,2020,2020-09-09T15:50:49.000,1177311,1905834,41.896943556,-87.624206307,"{'latitude': '41.896943556', 'longitude': '-87.624206307', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
36,12152198,JD351574,2020-08-31T12:38:00.000,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,1833,018,2,8,06,2020,2020-09-07T15:55:04.000,1177338,1906181,41.897895128,-87.624096605,"{'latitude': '41.897895128', 'longitude': '-87.624096605', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}"
